source_id,owner,access_channel,card_fact,existing_code,publication_frequency,check_frequency,next_executable_action
fns_tax_offence,data-ingestion,official FNS open-data ZIP+XSD,tax offence fine/documents,app/ingestion/fns_tax_offence.py;app/services/tax_offence_service.py,annual official release,daily release passport check,Activate S04 schedule after branch merge then execute one supervised release job and one following no-new-release check
fns_revenue_expenses,data-ingestion,official FNS open-data ZIP+XSD,revenue expenses profit/loss,app/ingestion/fns_revenue_expense.py;app/services/revenue_expense_service.py,annual official release,daily release passport check,Capacity-plan 104.5 MB archive then execute one supervised release job and one following no-new-release check
fns_tax_debt,data-ingestion,official FNS debtam ZIP+XSD bounded controlled-live cohort,tax debt amount/items,app/ingestion/fns_tax_debt_pipeline.py;app/services/tax_debt_service.py,official periodic release,daily release passport check,Complete approved cohort-40 Run A on WSL after merged operator CLI is deployed
fns_tax_paid,data-ingestion,official FNS open-data XML ZIP,tax payments by tax type,app/ingestion/fns_tax_payment.py;app/services/tax_payment_service.py,annual official release,weekly release passport check,Add immutable RAW and Worker Foundation handler around existing importer
fns_tax_regime,data-ingestion,official FNS SNR and SNRIP open-data XML ZIP,tax regimes,app/services/tax_regime_service.py,monthly official release,daily release passport check,Unify SNR/SNRIP release discovery while preserving separate legal-entity applicability
fns_headcount,data-ingestion,official FNS open-data XML ZIP,employee count and year,app/ingestion/fns_headcount.py;app/services/headcount_service.py,annual official release,weekly release passport check,Add immutable RAW and exact-INN atomic Worker publisher
fns_msp,data-ingestion,official FNS open-data XML ZIP,MSP category and inclusion dates,app/ingestion/fns_msp.py;app/services/msp_service.py,monthly official release,daily release passport check,Connect existing parser to Worker Foundation release identity and scheduled check
fns_sme_support,data-ingestion,official FNS open-data ZIP,SME support measures,app/ingestion/fns_sme_support.py;app/services/fns_sme_support_service.py,official release,daily release passport check,Reconcile existing integrity pipeline with common scheduler without duplicating manifests
fns_disqualified,data-ingestion,official FNS open-data CSV ZIP,disqualified manager match,app/ingestion/fns_disqualified.py;app/services/disqualified_person_service.py,daily official release,daily release passport check,Add durable schedule and last-success-preserving failure projection
fns_npd,data-ingestion,official FNS public lookup,NPD status,app/services/npd_service.py;app/services/npd_registry_service.py,on-demand,current cache policy,Document lawful automation channel and add bounded cache refresh handler
fns_egrul,data-ingestion,official FNS bulk/delta XML,registration identity and status,app/services/source_service.py,daily deltas,daily release check,Inventory current registry loader and select canonical delta chain
fns_egrip,data-ingestion,official FNS bulk/delta XML,IP registration identity and status,app/services/source_service.py,daily deltas,daily release check,Inventory current registry loader and select canonical delta chain
girbo_reports,data-ingestion,official GIR BO service/exports,financial statements,app/services/source_service.py,annual statements plus corrections,daily change check,Confirm lawful bulk/API channel and map statements to existing finance facts
erknm_inspections,data-ingestion,official ERKNM open-data JSON,inspection events,app/ingestion/erknm.py;app/services/erknm_service.py,official periodic release,daily release check,Move existing downloader manifest under durable scheduler run history
cbr_warning_list,data-ingestion,official CBR JSON,warning-list presence,app/ingestion/cbr_warning_list.py;app/ingestion/cbr_warning_worker.py;app/services/cbr_warning_list_service.py,continuous official snapshot,daily full-source check,Deploy then backup activate and execute first canonical Worker run
cbr_finorg,data-ingestion,official CBR SOAP/API,financial-organization status,app/ingestion/cbr_finorg.py;app/services/cbr_finorg_service.py,official updates,daily source check,Define bounded scheduled refresh separate from on-demand lookup
roszdravnadzor_licenses,data-ingestion,official Roszdravnadzor registries,licence status,app/services/roszdrav_registry_service.py;app/services/roszdrav_service.py,official updates,daily source check,Connect existing W1-004 provider checks to durable run history
roskomnadzor_registries,data-ingestion,official Roskomnadzor downloadable registries,operator/blocking facts,app/services/roskomnadzor_registry_service.py;app/services/roskomnadzor_service.py,official updates,daily source check,Preserve private-person isolation while adding public-company scheduler handler
mintrans_ted_registry,data-ingestion,official Mintrans XLSX registry,transport-forwarder listing,app/ingestion/mintrans_ted_registry.py;app/services/mintrans_ted_registry_service.py,official updates,daily source check,Replace fixture-only execution with approved official discovery after legal URL confirmation
nostroy_nopriz_sro,data-ingestion,official SRO public registries,SRO membership,app/services/nostroy_service.py;app/models/nostroy.py,registry updates,daily source check,Define official machine-readable acquisition or retain explicit human-assisted status
prime_corporate_disclosure,data-ingestion,public issuer disclosure lookup,corporate disclosure facts,app/services/corporate_disclosure_registry_service.py;app/services/corporate_disclosure_service.py,event-driven,daily source check,Confirm source terms and add cached bounded refresh
eis_rnp,data-ingestion,official EIS public/protected channel,procurement exclusion status,app/providers/eis_rnp.py;app/services/procurement_service.py,official updates,daily access check,Complete lawful access decision before any automated ingestion
arbitration_courts,data-ingestion,public court UI plus authorised bridge,arbitration case activity,app/services/court_service.py,continuous,daily provider health check,Replace temporary bridge or formalize credentials and bounded refresh ownership
general_courts,data-ingestion,human-assisted protected public search,general court activity,app/services/stage15_check_service.py,continuous,on-demand access check,Keep human-assisted until a lawful stable machine channel exists
fssp_enforcement,data-ingestion,official API/access-controlled search,enforcement proceedings,app/services/source_service.py,continuous,daily access check,Resolve official credentials and privacy policy before implementation
fedresurs_messages,data-ingestion,official API/access-controlled feed,bankruptcy and material events,app/services/source_service.py,continuous,daily access check,Confirm API entitlement and define event cursor checkpoint
